機種名,メーカー,導入月,号機,タイプ
ケータイ少女,北電子,2013年01月,5号機,ART
十字架2,ネット,2013年01月,5号機,AT
ヒマワリパラダイス,ソフィア,2013年10月,5号機,ノーマル
ヒマワリパラダイス,ソフィア,2013年01月,5号機,ノーマル
DARKER,SNKプレイモア,2013年01月,5号機,ART
魁!!男塾 ～天挑五輪大武會編～,ロデオ,2013年01月,5号機,AT
パチスロ宇宙戦艦ヤマト2～テレサ、愛の導き～,山佐,2013年01月,5号機,ART
スペシャルジャックポット,岡崎産業,2013年01月,5号機,ノーマル
スカイガールズ～よろしく!ゼロ～,TAKASAGO,2013年02月,5号機,ART
パチスロ らんま1/2,SANKYO,2013年01月,5号機,ART
メガミリオネア,ラスター,2013年02月,5号機,ART
ハイサイ蝶特急2,タイヨー,2013年02月,5号機,ART
メタルスラッグ3,SNKプレイモア,2013年02月,5号機,ART
パチスロ天才バカボン,D-light,2013年02月,5号機,ART
ヴァン・ヘルシング～ハンティングラッシュ～,藤商事,2013年02月,5号機,ART
絶対衝激II,アリストクラートテクノロジーズ,2013年02月,5号機,AT
EVANGELION ART,ビスティ,2013年02月,5号機,ART
ジャグラーガールズ「2013年」,北電子,2013年04月,5号機,ノーマル
パチスロあしたのジョー2,タイヨーエレック,2013年03月,5号機,AT
鬼浜爆走紅蓮隊～友情挽歌編～,ベルコ,2013年04月,5号機,AT
パチスロ戦国無双2,山佐,2013年04月,5号機,AT
スーパーシオ‐30,パイオニア,2013年03月,5号機,ノーマル、30Φ
キンバリー‐30,パイオニア,2013年03月,5号機,ノーマル、30Φ
アントニオ猪木が伝説にするパチスロ機,オリンピア,2013年03月,5号機,ART
パチスロ戦国嵐,三洋物産,2013年04月,5号機,AT
新鬼武者 再臨,ロデオ,2013年03月,5号機,AT
クランキーコレクション,アクロス,2013年03月,5号機,ノーマル
戦国パチスロ信長の野望‐天下創世‐「2013年」,ニューギン,2013年04月,5号機,ART
龍虎の拳,SNKプレイモア,2013年05月,5号機,AT
鬼の城,メーシー,2013年05月,5号機,ART
パチスロ 創聖のアクエリオンⅡ,SANKYO,2013年05月,5号機,ART
キャッツ・アイ‐コレクション奪還作戦,オリンピア,2013年05月,5号機,ART
スーパー花浪漫2‐30,タイヨー,2013年05月,5号機,ノーマル、30Φ
ハローサンタアルティメットマシンガンバージョン,タイヨー,2013年06月,5号機,ART
パチスロ北斗の拳 転生の章,サミー,2013年05月,5号機,AT
まじかるすいーとプリズム・ナナ,DAXEL,2013年05月,5号機,ART
キャプテンパルサー,山佐,2013年05月,5号機,AT
パチスロアタックNo.1～開幕!世界選手権～,三洋物産,2013年06月,5号機,ART
スナイパイ72「2013年」,ネット,2013年06月,5号機,AT
コイコイマハロ‐30,北電子,2013年05月,5号機,ノーマル、30Φ
忍魂弐～烈火ノ章～,大都技研,2013年06月,5号機,ART
パチスロ 空の軌跡 THE ANIMATION,ニューギン,2013年06月,5号機,ART
ドラゴンギャル～修羅の野望～,SNKプレイモア,2013年06月,5号機,AT
パチスロQP,オーイズミ,2013年07月,5号機,AT
美らん娘‐30,岡崎産業,2013年08月,5号機,ノーマル、30Φ
緑ドン～キラメキ!炎のオーロラ伝説～,エレコ,2013年07月,5号機,ART
ぱちスロAKB48,京楽,2013年07月,5号機,ART
ラクラクビスカス,パイオニア,2013年07月,5号機,ノーマル
大漁II,北電子,2013年06月,5号機,ノーマル
みんなのジャグラー,北電子,2013年06月,5号機,ノーマル
パチスロBADBOYS,岡崎産業,2013年07月,5号機,ART
パチスロゼーガペイン,山佐,2013年08月,5号機,AT
魂斗羅3D,KPE,2013年08月,5号機,AT
学園黙示録 ハイスクール・オブ・ザ・デッド,スパイキー,2013年07月,5号機,ART
回胴黙示録カイジ3,ロデオ,2013年08月,5号機,AT
パチスロ 笑ゥせぇるすまん,三洋物産,2013年08月,5号機,ART
パチスロ クイーンズブレイドⅡ 玉座を継ぐ者,JPS,2013年07月,5号機,AT
戦国乙女～剣戟に舞う白き剣聖～,オリンピア,2013年08月,5号機,ART
パチスロRAVE～エンドレスラッシュ～,藤商事,2013年08月,5号機,ART
パチスロ PROJECT ARMS,ニューギン,2013年08月,5号機,ART
2027III,スター,2013年09月,5号機,ART
ボンバーパワフルII,SANKYO,2013年09月,5号機,ART
パチスロ カメレオン,タイヨーエレック,2013年08月,5号機,ART
リバティベルV,アクロス,2013年09月,5号機,ART
レインボースリーセブンS1‐30,ベルコ,2014年09月,5号機,AT、30Φ
なでしこ侍,ネット,2013年09月,5号機,ART
デビルメイクライ4,エンターライズ,2013年09月,5号機,ART
ウルトラマンウォーズ,ビスティ,2013年09月,5号機,ART
ジャックポットドリーム,岡崎産業,2013年08月,5号機,ART
トリプルクラウンスペシャル‐30,清龍ゲームジャパン,2013年08月,5号機,ノーマル、30Φ
Persona4 The SLOT,ニューギン,2013年09月,5号機,ART
パチスロ化物語,サミー,2013年09月,5号機,AT
続・回胴のジャンゴ -地獄の賞金首-,タイヨー,2013年10月,5号機,AT
テイルズ オブ デスティニー,北電子,2013年11月,5号機,ART
戦空のキセキ～SKY LOVE～,SNKプレイモア,2013年10月,5号機,AT
猛虎花形,スパイキー,2013年10月,5号機,AT
クイーンハナハナ‐30,パイオニア,2013年10月,5号機,ノーマル、30Φ
マジカルハロウィン4,KPE,2013年11月,5号機,ART
パチスロ交響詩篇エウレカセブン2,サミー,2013年10月,5号機,AT
戦国パチスロ 花の慶次～これより我ら修羅に入る～,ニューギン,2013年09月,5号機,AT
パチスロラブ嬢,オリンピア,2013年10月,5号機,AT
パチスロ ギルティギア,D-light,2013年11月,5号機,ART
パチスロ タイガーマスク,SANKYO,2013年11月,5号機,ART
パチスロ スタードライバー,山佐,2013年11月,5号機,ART
激闘!西遊記,KPE,2014年01月,5号機,AT
スゴスロ,ネット,2013年11月,5号機,AT
パチスロ湘南純愛組!,ニューギン,2013年11月,5号機,ART
パチスロうみねこのなく頃に,オーイズミ,2014年01月,5号機,RT
吉宗「2013年」,大都技研,2013年12月,5号機,AT
うる星やつら3,銀座,2013年11月,5号機,AT
パチスロ獣王,サミー,2013年11月,5号機,AT
パチスロ クイーンズブレイド闘バージョン,JPS,2013年11月,5号機,AT
パチスロ仮面ライダー UNLIMITED,タイヨーエレック,2013年12月,5号機,AT
シティーハンター,オリンピア,2013年12月,5号機,AT
機動戦士ガンダム,ビスティ,2014年01月,5号機,ART
SLOT魔法少女まどか☆マギカ,メーシー,2013年12月,5号機,ART
ジャックポット「2014年」,ヤーマ,2014年03月,5号機,ノーマル
バジリスク～甲賀忍法帖～絆,エレコ,2014年01月,5号機,AT
パチスロ輪廻のラグランジェ,サミー,2014年01月,5号機,AT
ゲゲゲの鬼太郎～ブラック鬼太郎の野望～,藤商事,2014年02月,5号機,ART
主役は銭形2,オリンピア,2014年01月,5号機,AT
クイーンオアシス,パイオニア,2014年02月,5号機,ノーマル
パチスログラップラー刃牙～最大トーナメント編～,ニューギン,2014年02月,5号機,ART
パチスロ聖闘士星矢,三洋物産,2014年02月,5号機,AT
アナザーゴッドハーデス‐奪われたZEUSver.‐,ミズホ,2014年02月,5号機,AT
ヱヴァンゲリヲン～決意の刻～,ビスティ,2014年01月,5号機,RT
ビッグボーナスX64,タイヨー,2014年03月,5号機,ノーマル
マタドール‐30,北電子,2014年04月,5号機,ノーマル、30Φ
ハッピージャグラーVII,北電子,2014年04月,5号機,ノーマル
ジャックポットドリームプラス,岡崎産業,2014年02月,5号機,ART
ンゴロポポス～ピンチ!捕われの爺～,大都技研,2014年02月,5号機,ART
パチスロ モンキーターンⅡ,山佐,2014年04月,5号機,AT
サムライスピリッツ～剣豪八番勝負～,SNKプレイモア,2014年03月,5号機,AT
喧嘩祭,KPE,2014年04月,5号機,AT
パチスロモンスターハンター月下雷鳴,エンターライズ,2014年03月,5号機,AT
マジックモンスター3,オリンピア,2014年04月,5号機,AT
緑ドンVIVA2,エレコ,2014年04月,5号機,ART
スロット ジャックポット,岡崎産業,2014年03月,5号機,ノーマル
ハイハイハイビ‐30,パイオニア,2014年04月,5号機,ノーマル、30Φ
ニューペガサス,エマ,2014年04月,5号機,ノーマル
パチスロ ロストアイランド,サミー,2014年05月,5号機,AT
パチスロサムライチャンプルー流転輪廻,ニューギン,2014年04月,5号機,ART
パチスロ マクロスフロンティアⅡ,SANKYO,2014年04月,5号機,ART
ハイサイ蝶特急ターボ,タイヨー,2014年05月,5号機,AT
スーパーマリン‐30,オーイズミ,2014年05月,5号機,ノーマル、30Φ
餓狼伝説PREMIUM,SNKプレイモア,2014年05月,5号機,AT
麻雀格闘倶楽部,KPE,2014年05月,5号機,ART
パチスロ ケロット3,山佐,2014年05月,5号機,ノーマル
B‐MAX,アクロス,2014年05月,5号機,RT
メイドルナイト,JIN,2014年05月,5号機,AT
パチスロ戦国乙女～剣戟に舞う白き剣聖～西国参戦編,オリンピア,2014年04月,5号機,ART
シンデレラブレイド2,ネット,2014年09月,5号機,AT
パチスロ御伽屋HANZO,タイヨーエレック,2014年05月,5号機,ART
パチスロ蒼天の拳2,サミー,2014年06月,5号機,AT
テンパイラッシュ,パイオニア,2014年06月,5号機,ノーマル
パチスロ サイボーグ009,三洋物産,2014年06月,5号機,AT
パチスロ鉄拳3rd,山佐,2014年06月,5号機,AT
パチスロまじかる☆タルるートくん,ニューギン,2014年07月,5号機,ART
みどりのマキバオー,オリンピア,2014年07月,5号機,ART
娘娘娘,岡崎産業,2014年07月,5号機,AT
パチスロリング,藤商事,2014年07月,5号機,AT
ぱちスロ 必殺仕事人,京楽,2014年07月,5号機,ART
やじきた道中記乙,メーシー,2014年07月,5号機,AT
パチスロ ヘルシング,北電子,2014年08月,5号機,ART
ワイワイマハロ‐30,北電子,2014年07月,5号機,ノーマル、30Φ
ニューアイムジャグラーEX‐KT,北電子,2014年08月,5号機,ノーマル
パチスロ バーチャファイター,タイヨーエレック,2014年07月,5号機,AT
パチスロ 戦国BASARA3,エンターライズ,2014年08月,5号機,ART
スーパービンゴネオ「2014年」,ベルコ,2014年10月,5号機,AT
押忍!サラリーマン番長,大都技研,2014年08月,5号機,AT
スロット バットマン,エレコ,2014年09月,5号機,ART
ささみさん@がんばらないすろっと,DAXEL,2014年09月,5号機,ART
ドリームジャンボ,JPS,2014年09月,5号機,AT
パチスロ大海物語,三洋物産,2014年09月,5号機,AT
沖ドキ!,アクロス,2014年08月,5号機,AT
沖ドキ!‐30,アクロス,2014年08月,5号機,AT、30Φ
ニューキングハナハナ‐30,パイオニア,2014年09月,5号機,ノーマル、30Φ
パチスロ 三國志,ニューギン,2014年09月,5号機,AT
ブラックラグーン2,スパイキー,2015年03月,5号機,ART
バビロン(with桜丘ショコラ),タイヨー,2014年09月,5号機,ノーマル
戦律のストラタス,コナミアミューズメント,2014年09月,5号機,AT
パチスロ バーストエンジェル,山佐,2014年10月,5号機,AT
パチスロ カウボーイビバップ,オリンピア,2014年10月,5号機,AT
パチスロひぐらしのなく頃に煌,オーイズミ,2014年11月,5号機,AT
パチスロ機動新撰組 萌えよ剣～今宵、花散る～,北電子,2014年12月,5号機,ART
トリプルクラウンZERO1‐30,清龍ゲームジャパン,2014年10月,5号機,ノーマル、30Φ
Dororonえん魔くんメ～ラめら,KPE,2014年12月,5号機,ART
スーパービンゴネオS2‐30,ベルコ,2014年10月,5号機,AT、30Φ
パチスロアレジン,藤商事,2014年11月,5号機,AT
トラッドザレジェンド,岡崎産業,2014年11月,5号機,AT
パチスロ蒼穹のファフナー,SANKYO,2014年12月,5号機,ART
パチスロ黄門ちゃま,オリンピア,2015年01月,5号機,AT
シーマスター ～ララ、旅立ちのプレリュード～,山佐,2014年12月,5号機,AT
サラリーマン金太郎 出世回胴編,ロデオ,2014年12月,5号機,AT
テラシグマ,JPS,2015年01月,5号機,AT
パチスロ アラジンAⅡ,サミー,2015年02月,5号機,AT
真モグモグ風林火山2,ネット,2015年01月,5号機,AT
スーパージャックポット,アクロス,2015年01月,5号機,ノーマル
ニューパルサーデラックス,山佐,2015年01月,5号機,ノーマル
スーパーラクラクビスカス,パイオニア,2015年03月,5号機,ノーマル
ハナビ,アクロス,2015年02月,5号機,RT
戦国コレクション2,KPE,2015年02月,5号機,AT
パチスロコブラ,SNKプレイモア,2015年03月,5号機,ART
麻雀物語3,オリンピア,2015年03月,5号機,AT
パチスロベルセルク,七匠,2015年02月,5号機,ART
パチスロ ゴッドイーター,山佐,2015年04月,5号機,AT
トラッド,ヤーマ,2015年03月,5号機,ノーマル
トラッド480,ヤーマ,2015年03月,5号機,ノーマル
パチスロサイバーブルー,三洋物産,2015年02月,5号機,AT
ゴーゴージャグラーKK,北電子,2015年04月,5号機,ノーマル
コクッチーマスターズ,タイヨー,2015年03月,5号機,ノーマル
まじかるすいーとプリズム・ナナエース,DAXEL,2015年02月,5号機,RT
サイレントメビウス,岡崎産業,2015年04月,5号機,ART
ミリオンゴッド‐神々の凱旋‐,ユニバーサルブロス,2015年03月,5号機,AT
パチスロ 修羅の刻,SANKYO,2015年04月,5号機,AT
沖縄フェスティバル‐30「2015年」,パイオニア,2015年04月,5号機,ノーマル、30Φ
パチスロ おとめ妖怪ざくろ,北電子,2015年06月,5号機,ART
最胸伝奇パイ遊記,ネット,2015年05月,5号機,AT
ドラゴンギャル～双龍の闘い～,SNKプレイモア,2015年05月,5号機,AT
めんそ～れ30,エマ,2015年05月,5号機,ノーマル、30Φ
デビルサバイバー2,オリンピア,2015年05月,5号機,AT
ガン×ソード,TAKASAGO,2015年06月,5号機,AT
パチスロ大工の源さん～桜満開!源DREAM,三洋物産,2015年06月,5号機,AT
吉宗～極～,大都技研,2015年06月,5号機,AT
押し順ケロルン,山佐,2015年06月,5号機,AT
ハイディングドラゴンB,JPS,2015年04月,5号機,ノーマル
煩悩BREAKER禅,山佐,2015年07月,5号機,AT
パチスロ 大工の源さん 桜満開! 源DREAMVer.,三洋物産,2015年07月,5号機,ART
鬼神7,アイゲート,2015年07月,5号機,RT
めんそ～れ,エマ,2015年07月,5号機,ノーマル
イケイケマハロ‐30,北電子,2015年07月,5号機,ノーマル、30Φ
マイジャグラーIII,北電子,2015年07月,5号機,ノーマル
パチスロ アスラズラース,エンターライズ,2015年06月,5号機,ART
ヱヴァンゲリヲン 希望の槍,ビスティ,2015年06月,5号機,ART
サマージャンボ,JPS,2015年07月,5号機,AT
パチスロ ストライクウィッチーズ,オーイズミ,2015年08月,5号機,AT
ジャッカスチーム,大都技研,2015年07月,5号機,ART
乙女魂～光と無月～,TAKASAGO,2015年08月,5号機,ART
SLOTシャドウハーツII‐運命の道標‐,ユニバーサルブロス,2015年08月,5号機,ART
スカイガールズ～ゼロ、ふたたび～,TAKASAGO,2015年08月,5号機,ART
ガリンポ‐30,エマ,2015年08月,5号機,ノーマル、30Φ
パチスロ北斗の拳 強敵,サミー,2015年08月,5号機,AT
パチスロ聖闘士星矢～女神聖戦～,三洋物産,2015年08月,5号機,ART
サンダーVリボルト,アクロス,2015年08月,5号機,ノーマル
パチスロ マクロスフロンティア2 Bonus Live ver.,SANKYO,2015年08月,5号機,ART
ハナハナホウオウ‐30,パイオニア,2015年09月,5号機,ノーマル、30Φ
サイレントヒル,TAKASAGO,2015年09月,5号機,AT
パチスロクジラッキー,三洋物産,2015年09月,5号機,AT
プレミアムビンゴ,ベルコ,2015年10月,5号機,AT
ビーストバスターズ,SNKプレイモア,2015年10月,5号機,ART
Zゴールド・インフィニティ,ネット,2015年09月,5号機,AT
キングジャック,アクロス,2015年09月,5号機,ノーマル
パチスロ ルパン三世 ロイヤルロード~金海に染まる黄金神殿~,オリンピア,2015年09月,5号機,AT
アスラズラース,エンターライズ,2015年09月,5号機,ART
銀河機攻隊 マジェスティックプリンス,D-light,2015年10月,5号機,AT
パチスロ ベヨネッタ,サミー,2015年09月,5号機,AT
パチスロ 無双OROCHI,山佐,2015年09月,5号機,AT
パチスロ地獄少女,藤商事,2015年10月,5号機,ART
パチスロ デッドマン・ワンダーランド,北電子,2015年10月,5号機,ART
戦国パチスロ花の慶次～戦極めし傾奇者の宴～,エキサイト,2015年10月,5号機,ART
パチスロヤッターマン,三洋物産,2015年11月,5号機,ART
ハイスクールD×D,KPE,2015年10月,5号機,ART
パチスロ IS<インフィニット・ストラトス>,SANKYO,2015年10月,5号機,ART
想定科学パチスロ STEINS;GATE~廻転世界のインダクタンス~,オーイズミ,2015年10月,5号機,AT
パチスロ銀と金2,タイヨーエレック,2015年11月,5号機,ART
パチスロ龍が如く OF THE END,タイヨーエレック,2015年10月,5号機,AT
パチスロ ゴッドイーター荒神Ver.,山佐,2015年09月,5号機,AT
パチスロ ガールズ&パンツァー,オリンピア,2015年10月,5号機,AT
パチスロ 機甲戦記ドラグナー,サミー,2015年10月,5号機,AT
スーパーブラックジャック2,ネット,2015年11月,5号機,ART
パチスロ百花繚乱サムライガールズ「2015年」,DAXEL,2015年10月,5号機,AT
ぱちスロAKB48,京楽,2015年10月,5号機,ART
パチスロ鬼武者3,サミー,2015年11月,5号機,AT
パチスロ ああっ女神さまっ,D-light,2015年11月,5号機,ART
ニュートリプルクラウン3‐30,清龍ゲームジャパン,2015年11月,5号機,ノーマル、30Φ
ヱヴァンゲリヲン・魂を繋ぐもの,ビスティ,2015年11月,5号機,ノーマル
秘宝伝～伝説への道～,大都技研,2015年12月,5号機,ART
デビルマンIII‐悪魔ノ黙示録‐,エレコ,2015年11月,5号機,ART
ラッキージャックポット,岡崎産業,2016年01月,5号機,ノーマル
ペガッパ,エマ,2015年12月,5号機,ノーマル
リノ,山佐,2015年12月,5号機,ノーマル
戦国乙女2～深淵に輝く気高き将星～,オリンピア,2016年01月,5.5号機,AT
パチスロ 機動戦士ガンダム 覚醒‐Chained battle‐,ビスティ,2016年01月,5.5号機,ART
まつりば!,大都技研,2016年02月,5.5号機,ART
マジカルハロウィン5,KPE,2016年02月,5.5号機,ART
パチスロ緋弾のアリア,藤商事,2016年01月,5.5号機,ART
キュインハナチャン‐25,ニューギン,2016年01月,5.5号機,ノーマル
キュインハナチャン‐30,ニューギン,2016年01月,5.5号機,ノーマル、30Φ
スーパーオアシス,パイオニア,2016年01月,5.5号機,ノーマル
沖ドキ!トロピカル,ユニバーサルブロス,2016年01月,5.5号機,AT
南海花浪漫‐30,タイヨー,2016年03月,5.5号機,ノーマル、30Φ
ACHISLOT NINJA GAIDEN,七匠,2016年02月,5.5号機,AT
十字架3,ネット,2016年03月,5.5号機,AT
パチスロ鉄拳3rd,山佐,2016年03月,5.5号機,AT
パチスロ偽物語,サミー,2016年02月,5.5号機,ART
パチスロ 機動警察パトレイバー,北電子,2016年04月,5.5号機,AT
プチマーメイド,北電子,2016年04月,5.5号機,ノーマル
キングパルサー~DOT PULSAR~,山佐,2016年04月,5.5号機,AT
パチスロひぐらしのなく頃に 絆,D-light,2016年02月,5.5号機,ART
ユルビスカス‐30,パイオニア,2016年03月,5.5号機,ノーマル、30Φ
南国物語,オリンピア,2016年03月,5.5号機,AT
めんそーれ30黄金守護神,エマ,2017年08月,5.5号機,ノーマル、30Φ
バガナックルー,大都技研,2016年03月,5.5号機,AT
ゲッターマウス,アクロス,2016年03月,5.5号機,ノーマル
ミラクル,エレコ,2016年03月,5.5号機,AT
沖ドキ!トロピカル‐30,アクロス,2016年03月,5.5号機,AT、30Φ
パチスロ ウルトラマン,七匠,2016年03月,5.5号機,ノーマル
ニューチバリヨ,ネット,2016年04月,5.5号機,AT
ニューチバリヨ‐30,ネット,2016年04月,5.5号機,AT、30Φ
探偵歌劇 ミルキィホームズ TD 消えた7と奇跡の歌,DAXEL,2016年04月,5.5号機,ART
パチスロ マブラヴ オルタネイティヴ トータル・イクリプス,SANKYO,2016年04月,5.5号機,ART
スーパーストリートファイターIV パチスロエディション,エンターライズ,2016年04月,5.5号機,ART
コクッチーブラック,タイヨー,2016年05月,5.5号機,ノーマル
めぞん一刻 桜の下で,オリンピア,2016年05月,5.5号機,RT
アステカ‐太陽の紋章‐,エレコ,2016年04月,5.5号機,ART
パチスロコードギアス 反逆のルルーシュR2,サミー,2016年05月,5.5号機,ART
ナイツ2,山佐,2016年05月,5.5号機,ノーマル
スーパーリノMAX,山佐,2016年04月,5.5号機,ノーマル
パチスロ ビッグドリームinロストアイランド2,タイヨーエレック,2016年06月,5.5号機,ノーマル
秘宝伝～TheLast～,大都技研,2016年05月,5.5号機,AT
元祖ハネスロ再び,オーイズミ,2016年06月,5.5号機,RT
ドリームハナハナ‐30,パイオニア,2016年06月,5.5号機,ノーマル、30Φ
南国物語SPECIAL,オリンピア,2016年06月,5.5号機,ノーマル
パチスロ 翠星のガルガンティア,D-light,2016年05月,5.5号機,ART
沖ドキ!パラダイス‐25,ユニバーサルブロス,2016年06月,5.5号機,AT
沖ドキ!パラダイス‐30,アクロス,2016年06月,5.5号機,AT、30Φ
ファンキージャグラー,北電子,2016年07月,5.5号機,ノーマル
真田純勇士～ラブストライク～,エキサイト,2016年06月,5.5号機,ART
ぱちスロ テラフォーマーズ,京楽,2016年06月,5.5号機,ART
A‐SLOT北斗の拳 将,サミー,2016年06月,5.5号機,RT
A‐SLOT偽物語,サミー,2016年06月,5.5号機,RT
パチスロ ルパン三世~消されたルパン~,オリンピア,2016年07月,5.5号機,ART
パチスロ バルタン星人,七匠,2016年06月,5.5号機,ノーマル
セブンスビート,KPE,2016年07月,5.5号機,ノーマル
パチスロ「メタルギア ソリッド スネークイーター」,KPE,2016年10月,5.5号機,ART
スーパープラネットデラックス,山佐,2016年08月,5.5号機,RT
クレアの秘宝伝～眠りの塔とめざめの石～,大都技研,2016年08月,5.5号機,RT
バーサス,アクロス,2016年07月,5.5号機,RT
パチスロ 戦姫絶唱シンフォギア,SANKYO,2016年08月,5.5号機,ART
トリプルクラウンG‐30,清龍ゲームジャパン,2016年06月,5.5号機,ノーマル、30Φ
クイーンジャックネオ,岡崎産業,2016年08月,5.5号機,ノーマル
パチスロBLOOD+ 二人の女王,タイヨーエレック,2016年09月,5.5号機,ART
パチスロ ロスト プラネット2,オリンピア,2016年08月,5.5号機,ART
デビル メイ クライ クロス,エンターライズ,2016年07月,5.5号機,ART
プリシラと魔法の本,ネット,2016年10月,5.5号機,ART
乱嵐エイサー‐30,オーイズミ,2016年09月,5.5号機,ノーマル、30Φ
マタドールII‐30,北電子,2016年08月,5.5号機,ノーマル、30Φ
SLOTデッド オア アライブ5,ユニバーサルブロス,2016年08月,5.5号機,ART
パチスロ未来日記,エキサイト,2016年09月,5.5号機,ノーマル
パチスロスーパー海物語IN沖縄2,三洋物産,2016年09月,5.5号機,ノーマル
パチスロ北斗の拳 修羅の国篇,サミー,2016年09月,5.5号機,ART
パチスロ ロード オブ ヴァーミリオン,七匠,2016年10月,5.5号機,ART
天下布武3,山佐,2016年09月,5.5号機,ART
SLOT魔法少女まどか☆マギカ2(まどマギ2),メーシー,2016年09月,5.5号機,ART
3×3EYES～聖魔覚醒～,大都技研,2016年09月,5.5号機,ノーマル
もっと!沖縄フェスティバル‐30「2016年」,パイオニア,2016年09月,5.5号機,ノーマル、30Φ
マハラJA,デンケン販売,2016年09月,5.5号機,RT
パチスロ 貞子3D,ニューギン,2016年10月,5.5号機,ART
ニューアイムジャグラーEX‐KA,北電子,2016年09月,5.5号機,ノーマル
パチスロ ウィッチマスター,山佐,2016年11月,5.5号機,ART
パチスロ薄桜鬼蒼焔録,D-light,2016年11月,5.5号機,ノーマル
パチスロ 凪のあすから,ネット,2016年11月,5.5号機,RT
麻雀格闘倶楽部2,KPE,2016年11月,5.5号機,ART
クランキーセレブレーション,アクロス,2016年10月,5.5号機,ノーマル
パチスロ火曜サスペンス劇場,タイヨーエレック,2016年11月,5.5号機,RT
パチスロ モンスターハンター~狂竜戦線~,エンターライズ,2016年12月,5.5号機,ART
SHAKEIII,大都技研,2016年12月,5.5号機,ART
パチスロ ウィッチクラフトワークス,DAXEL,2016年11月,5.5号機,ART
パチスロ ロリポップチェーンソー,藤商事,2016年12月,5.5号機,ART
パチスロ 涼宮ハルヒの憂鬱,SANKYO,2016年12月,5.5号機,ART
パチスロ犬夜叉「2016年」,ロデオ,2016年12月,5.5号機,ART
スーパービンゴリゾート,ベルコ,2016年12月,5.5号機,ART
パチスロニュースモモチャンEX,ニューギン,2016年12月,5.5号機,ノーマル
パチスロニュースモモチャンEX‐30,ニューギン,2016年12月,5.5号機,ノーマル、30Φ
シスタークエスト～時の魔術師と悠久の姉妹～,アイゲート,2017年01月,5.5号機,ART
SLOTバジリスク～甲賀忍法帖～III,エレコ,2016年11月,5.5号機,ART
押忍!番長3,大都技研,2017年03月,5.5号機,ART
パチスロ エウレカセブンAO,サミー,2017年01月,5.5号機,ART
TVアニメーション弱虫ペダル,オリンピア,2017年01月,5.5号機,ART
パチスロZETMAN,エキサイト,2017年01月,5.5号機,ART
パチスロ牙狼‐守りし者‐,サミー,2017年02月,5.5号機,ART
オアシスデイズ,パイオニア,2017年01月,5.5号機,ノーマル
GI優駿倶楽部,KPE,2017年02月,5.5号機,ART
パチスロJAWS~it's a SHARK PANIC~,オリンピア,2017年02月,5.5号機,ART
SLOTスターオーシャン4,ユニバーサルブロス,2017年01月,5.5号機,ART
パチスロおそ松さん,D-light,2017年02月,5.5号機,ノーマル
パチスロ ソウルキャリバー,山佐,2017年01月,5.5号機,ART
ニューペガサスR,エマ,2016年12月,5.5号機,ノーマル
パチスロ モンキーターンIII,山佐,2017年02月,5.5号機,ART
ヱヴァンゲリヲン・勝利への願い,ビスティ,2017年02月,5.5号機,ART
ャックポット トロピカルバージョン2,岡崎産業,2017年02月,5.5号機,ノーマル
パチスロマジンガーZ,エキサイト,2017年02月,5.5号機,ART
ドリスタせかんど,ネット,2017年03月,5.5号機,ART
パチスロ宇宙戦艦ヤマト2199,サミー,2017年02月,5.5号機,ART
防空少女ラブキューレ,KPE,2017年03月,5.5号機,ART
アイムジャグラーEX AnniversaryEdition,北電子,2017年03月,5.5号機,ノーマル
パチスロ 輪るピングドラム,北電子,2017年03月,5.5号機,ART
パパチスロ ビビッドレッド・オペレーション,三洋物産,2017年03月,5.5号機,ART
パチスロ ゼクスイグニッション,オリンピア,2017年03月,5.5号機,ART
パチスロ みんなで楽シーサー,SANKYO,2017年03月,5.5号機,ノーマル
パチスロ攻殻機動隊S.A.C. 2nd GIG,サミー,2017年03月,5.5号機,ART
鬼浜爆走紅蓮隊 愛,ベルコ,2017年04月,5.5号機,ART
パチスロ 機動戦士Zガンダム,ビスティ,2017年04月,5.5号機,ART
アナザーゴッドポセイドン‐海皇の参戦‐,エレコ,2017年03月,5.5号機,ART
ドキドキマンゴー‐25,パイオニア,2017年04月,5.5号機,ノーマル
ドキドキマンゴー‐30,パイオニア,2017年04月,5.5号機,ノーマル、30Φ
パチスロ キン肉マン ~夢の超人タッグ編~,山佐,2017年04月,5.5号機,ART
パチスロ恵比寿マスカッツ,エキサイト,2017年04月,5.5号機,ART
パチスロ獣王 王者の覚醒,サミー,2017年04月,5.5号機,ART
ラッキーベガス,KPE,2017年05月,5.5号機,ART
パチスロ ラストエグザイル‐銀翼のファム‐,オーイズミ,2017年05月,5.5号機,AT、ART
パチスロ マクロスフロンティア3,SANKYO,2017年04月,5.5号機,ART
パチスロサクラ大戦～熱き血潮に～,サミー,2017年05月,5.5号機,ART
パチスロおそ松くん,D-light,2017年04月,5.5号機,ART
パチスロ 呪怨,藤商事,2017年05月,5.5号機,ART
ぱちスロ 水戸黄門,京楽,2017年04月,5.5号機,ART
タイムクロス2,山佐,2017年05月,5.5号機,ノーマル
ハッピージャックポット,岡崎産業,2017年05月,5.5号機,ノーマル
SLOTアカギ～闇に降り立った天才～,メーシー,2017年04月,5.5号機,ART
賞金首2,ネット,2017年05月,5.5号機,ART
